goos: darwin
goarch: arm64
pkg: github.com/timescale/promscale/pkg/clockcache
BenchmarkInsertOverCapacity/5000-10         	 6545136	       181.2 ns/op	   6545136 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6531207	       182.0 ns/op	   6531207 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6569070	       183.0 ns/op	   6569070 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6537092	       181.8 ns/op	   6537092 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/5000-10         	 6557569	       182.4 ns/op	   6557569 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6784471	       176.6 ns/op	   6784471 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6773894	       176.3 ns/op	   6773894 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6798206	       176.3 ns/op	   6798206 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6746605	       175.5 ns/op	   6746605 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6802009	       176.5 ns/op	   6802009 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6795561	       176.0 ns/op	   6795561 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6823489	       175.7 ns/op	   6823489 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6793269	       176.4 ns/op	   6793269 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6714740	       176.8 ns/op	   6714740 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6806658	       175.9 ns/op	   6806658 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6775171	       176.0 ns/op	   6775171 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6800818	       176.5 ns/op	   6800818 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6789748	       176.9 ns/op	   6789748 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6784381	       177.0 ns/op	   6784381 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6807408	       176.9 ns/op	   6807408 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6804696	       176.5 ns/op	   6804696 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6771574	       177.3 ns/op	   6771574 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6771331	       177.1 ns/op	   6771331 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6765948	       176.3 ns/op	   6765948 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/50000-10        	 6795972	       177.0 ns/op	   6795972 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6955413	       177.3 ns/op	   6955413 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6472594	       179.8 ns/op	   6472594 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6459308	       173.9 ns/op	   6459308 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6937891	       174.8 ns/op	   6937891 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6599500	       170.6 ns/op	   6599500 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6836016	       170.8 ns/op	   6836016 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6805916	       170.5 ns/op	   6805916 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6785676	       170.6 ns/op	   6785676 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6630060	       171.4 ns/op	   6630060 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6732248	       170.5 ns/op	   6732248 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6766557	       169.9 ns/op	   6766557 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6784218	       171.6 ns/op	   6784218 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6934846	       171.4 ns/op	   6934846 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6861229	       170.9 ns/op	   6861229 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6654954	       171.2 ns/op	   6654954 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6796321	       170.6 ns/op	   6796321 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6814056	       172.3 ns/op	   6814056 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6735510	       171.8 ns/op	   6735510 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6686860	       170.6 ns/op	   6686860 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500000-10       	 6690128	       170.1 ns/op	   6690128 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3342148	       344.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3360900	       359.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3340753	       358.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3485137	       359.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3495723	       362.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3493618	       364.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3524422	       363.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3531378	       361.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertConcurrent/500-10            	 3295281	       348.1 ns/op	       0 B/op	       0 allocs/op
