goos: darwin
goarch: arm64
pkg: github.com/timescale/promscale/pkg/clockcache
BenchmarkInsertUnderCapacity/500000-10      	 8898223	       129.7 ns/op	   8898223 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8322006	       129.1 ns/op	   8322006 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8239034	       128.8 ns/op	   8239034 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8161629	       134.7 ns/op	   8161629 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 7705308	       138.3 ns/op	   7705308 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 7991670	       132.7 ns/op	   7991670 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8372180	       135.8 ns/op	   8372180 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 6922059	       147.7 ns/op	   6922059 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8038129	       139.1 ns/op	   8038129 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 7305378	       143.0 ns/op	   7305378 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertUnderCapacity/500000-10      	 8048331	       136.3 ns/op	   8048331 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5873113	       207.0 ns/op	   5873113 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5879086	       205.7 ns/op	   5879086 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5920364	       205.6 ns/op	   5920364 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
BenchmarkInsertOverCapacity/500-10          	 5936440	       205.5 ns/op	   5936440 inserts	         1.000 inserts/ops	       0 B/op	       0 allocs/op
